,date,position,title,isrc,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
1699,2019-02-15,20,GUN LEAN,UKRL31800005,0.364,0.91,213747,0.643,1.67e-05,8,0.101,-8.929,1,0.432,139.95,4,0.729
1700,2019-02-15,21,SHALLOW,USUM71813192,0.371,0.572,215733,0.385,0.0,7,0.231,-6.362,1,0.0308,95.799,4,0.323
1701,2019-02-15,22,BABY SHARK,KRE671700001,0.259,0.829,80927,0.886,0.0,8,0.0559,-1.746,1,0.112,115.056,4,0.777
1702,2019-02-15,23,SUNFLOWER,USUV71803661,0.533,0.755,157560,0.522,0.0,2,0.0685,-4.368,1,0.0575,89.96,4,0.925
1703,2019-02-15,24,SWAN SONG,GBAHT1900097,0.00579,0.588,182075,0.821,0.000275,5,0.208,-6.54,0,0.216,188.098,4,0.509
1704,2019-02-15,25,UNDECIDED,USRC11803551,0.288,0.407,185000,0.612,0.0,5,0.198,-4.387,0,0.13,96.943,4,0.488
1705,2019-02-15,26,GRACE,DEUM71806295,0.435,0.722,185658,0.565,0.0,4,0.165,-5.848,1,0.0335,104.483,4,0.488
1706,2019-02-15,27,SWERVIN,USAT21812918,0.0153,0.581,189487,0.662,0.0,9,0.111,-5.239,1,0.303,93.023,4,0.434
1707,2019-02-15,28,WITHOUT ME,USUM71813499,0.297,0.752,201661,0.488,9.11e-06,6,0.0936,-7.05,1,0.0705,136.041,4,0.533
1708,2019-02-15,29,A LOT,QZ45A1700126,0.0395,0.837,288624,0.636,0.00125,1,0.342,-7.643,1,0.086,145.972,4,0.274
1709,2019-02-15,30,JUST YOU AND I,GBARL1601833,0.679,0.477,198102,0.52,4.34e-06,9,0.0978,-7.582,1,0.395,171.895,4,0.383
1710,2019-02-15,31,HAPPIER,USUG11801651,0.191,0.687,214290,0.792,0.0,5,0.167,-2.749,1,0.0452,100.015,4,0.671
1711,2019-02-15,32,SHOTGUN,GBARL1701372,0.286,0.673,201287,0.735,0.0,5,0.242,-4.733,1,0.0457,115.744,4,0.754
1712,2019-02-15,33,I'M SO TIRED,GBKPL1933763,0.173,0.548,162587,0.735,0.0,11,0.195,-7.572,1,0.236,101.252,4,0.498
1713,2019-02-15,34,WHO DO YOU LOVE,USQX91803661,0.0101,0.51,226733,0.846,0.0,3,0.208,-4.595,1,0.0461,139.927,4,0.475
1714,2019-02-15,35,LOST IN THE FIRE,USQX91803314,0.0933,0.658,202093,0.671,0.000927,2,0.115,-12.21,1,0.0363,100.966,4,0.166
1715,2019-02-15,36,ADVICE,UKFBX1800008,0.201,0.911,192571,0.529,0.0,9,0.101,-7.996,0,0.328,105.067,4,0.76
1716,2019-02-15,37,BREATHE,GBCEN1800173,0.00646,0.595,194233,0.877,0.0879,9,0.398,-7.414,0,0.0442,125.015,4,0.081
1717,2019-02-15,38,NIGHTS LIKE THIS,USAT21813049,0.367,0.61,201788,0.725,0.0,8,0.154,-5.131,1,0.15,146.163,4,0.291
1718,2019-02-15,39,THURSDAY,GBAHS1800454,0.452,0.603,216239,0.554,0.0,2,0.0545,-4.381,1,0.0646,111.989,4,0.354
1719,2019-02-15,40,THOTIANA,QZDA51839408,0.18,0.906,129264,0.382,0.0,10,0.113,-12.89,0,0.269,104.025,4,0.391
1720,2019-02-22,1,7 RINGS,USUM71900111,0.559,0.78,178627,0.321,0.0,1,0.0881,-10.747,0,0.371,139.961,4,0.316
1721,2019-02-22,2,BREAK UP WITH YOUR GIRLFRIEND I'M BORED,USUM71900409,0.0421,0.726,190440,0.554,0.0,5,0.106,-5.29,0,0.0917,169.999,4,0.335
